"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ACC","EQ","25-Jun-2021","       2027.45","       2028.90","       2048.00","       2028.00","       2044.90","       2041.15","       2036.34","     329128","           670216497.95","      12776","     113575","         34.51"
"ACC","EQ","28-Jun-2021","       2041.15","       2046.00","       2059.95","       2023.10","       2050.00","       2050.95","       2047.63","     380090","           778285557.80","      19919","     145873","         38.38"
"ACC","EQ","29-Jun-2021","       2050.95","       2054.30","       2064.90","       2040.00","       2052.20","       2053.05","       2051.50","     279895","           574205296.65","      18467","      72434","         25.88"
"ACC","EQ","30-Jun-2021","       2053.05","       2052.20","       2052.45","       2008.05","       2016.00","       2014.80","       2031.44","     450373","           914904275.50","      24909","     238888","         53.04"
"ACC","EQ","01-Jul-2021","       2014.80","       2021.80","       2021.80","       1991.70","       1996.60","       1996.00","       2002.69","     335738","           672378052.35","      18569","     109247","         32.54"
"ACC","EQ","02-Jul-2021","       1996.00","       2003.90","       2004.35","       1978.00","       1991.00","       1987.25","       1987.49","     293738","           583802077.25","      13624","      89714","         30.54"
"ACC","EQ","05-Jul-2021","       1987.25","       1997.65","       2006.60","       1975.00","       1981.10","       1982.75","       1989.54","     328547","           653658787.10","      23547","     120251","         36.60"
"ACC","EQ","06-Jul-2021","       1982.75","       1987.85","       2058.55","       1983.05","       2022.00","       2022.85","       2032.85","    1171831","          2382160323.80","      43567","     314069","         26.80"
"ACC","EQ","07-Jul-2021","       2022.85","       2031.70","       2044.45","       2012.90","       2035.30","       2036.55","       2029.01","     339727","           689310270.85","      36847","     134898","         39.71"
"ACC","EQ","08-Jul-2021","       2036.55","       2041.00","       2057.35","       2022.00","       2027.10","       2029.50","       2043.36","     342553","           699957636.65","      20410","     112608","         32.87"
"ACC","EQ","09-Jul-2021","       2029.50","       2029.50","       2040.00","       2017.10","       2036.00","       2037.25","       2029.13","     174442","           353965464.55","      19668","      58168","         33.35"
"ACC","EQ","12-Jul-2021","       2037.25","       2042.50","       2087.00","       2042.50","       2072.20","       2072.30","       2072.35","     770557","          1596867594.80","      32885","     245957","         31.92"
"ACC","EQ","13-Jul-2021","       2072.30","       2082.00","       2091.70","       2070.50","       2085.50","       2084.80","       2082.90","     420437","           875728513.05","      32556","     123014","         29.26"
"ACC","EQ","14-Jul-2021","       2084.80","       2083.65","       2097.95","       2070.90","       2075.05","       2081.55","       2084.56","     363780","           758321903.30","      17407","     113893","         31.31"
"ACC","EQ","15-Jul-2021","       2081.55","       2080.00","       2125.10","       2068.70","       2122.45","       2112.45","       2094.77","     710905","          1489185610.55","      30923","     278377","         39.16"
"ACC","EQ","16-Jul-2021","       2112.45","       2122.45","       2135.00","       2112.00","       2133.00","       2129.35","       2124.09","     425910","           904671739.40","      28235","     108342","         25.44"
"ACC","EQ","19-Jul-2021","       2129.35","       2117.90","       2168.00","       2105.20","       2167.35","       2151.90","       2137.47","     666887","          1425453487.05","      37990","     166573","         24.98"
"ACC","EQ","20-Jul-2021","       2151.90","       2226.00","       2344.05","       2192.20","       2301.00","       2308.85","       2287.35","    8593295","         19655907777.55","     300851","     441260","          5.13"
"ACC","EQ","22-Jul-2021","       2308.85","       2340.00","       2340.00","       2271.10","       2291.80","       2290.25","       2301.58","    1010305","          2325299206.50","      46876","     219529","         21.73"
"ACC","EQ","23-Jul-2021","       2290.25","       2296.15","       2375.00","       2292.50","       2338.00","       2337.55","       2345.19","    1664900","          3904502623.55","      78552","     213012","         12.79"
"ACC","EQ","26-Jul-2021","       2337.55","       2337.30","       2374.80","       2308.10","       2370.05","       2369.20","       2352.62","     695393","          1635996002.25","      44997","     217092","         31.22"
"ACC","EQ","27-Jul-2021","       2369.20","       2371.00","       2395.00","       2356.80","       2366.25","       2371.70","       2377.94","    1017264","          2418988551.05","      46501","     326849","         32.13"
"ACC","EQ","28-Jul-2021","       2371.70","       2369.00","       2397.20","       2330.25","       2392.00","       2393.90","       2367.06","     437170","          1034805621.95","      23778","      61021","         13.96"
"ACC","EQ","29-Jul-2021","       2393.90","       2400.00","       2413.00","       2349.80","       2374.00","       2364.00","       2373.29","     677603","          1608148769.60","      32469","     197624","         29.17"
"ACC","EQ","30-Jul-2021","       2364.00","       2365.00","       2415.00","       2360.00","       2395.50","       2394.10","       2390.86","     465284","          1112427496.90","      21995","     165508","         35.57"
"ACC","EQ","02-Aug-2021","       2394.10","       2395.00","       2434.40","       2381.20","       2424.00","       2424.00","       2412.50","     464987","          1121782303.25","      28026","     171593","         36.90"
"ACC","EQ","03-Aug-2021","       2424.00","       2420.00","       2440.80","       2392.00","       2429.55","       2433.10","       2417.52","     538219","          1301155943.50","      33638","     247167","         45.92"
"ACC","EQ","04-Aug-2021","       2433.10","       2433.00","       2454.95","       2393.00","       2398.00","       2398.60","       2418.66","     380386","           920022749.20","      21605","     113591","         29.86"
"ACC","EQ","05-Aug-2021","       2398.60","       2400.05","       2413.70","       2375.20","       2390.00","       2392.20","       2394.73","     399193","           955961209.45","      18749","      95827","         24.01"
"ACC","EQ","06-Aug-2021","       2392.20","       2382.10","       2398.80","       2335.40","       2344.00","       2341.35","       2362.48","     516746","          1220800564.40","      26616","     216620","         41.92"
"ACC","EQ","09-Aug-2021","       2341.35","       2348.00","       2366.55","       2304.00","       2322.30","       2312.60","       2331.85","     449768","          1048790656.75","      21109","     192059","         42.70"
"ACC","EQ","10-Aug-2021","       2312.60","       2324.00","       2330.00","       2266.95","       2296.00","       2296.95","       2301.73","     321608","           740253479.70","      19833","      83463","         25.95"
"ACC","EQ","11-Aug-2021","       2296.95","       2297.00","       2327.95","       2248.55","       2276.90","       2276.05","       2270.55","     401413","           911429368.20","      26273","     164669","         41.02"
"ACC","EQ","12-Aug-2021","       2276.05","       2278.35","       2329.95","       2255.00","       2291.00","       2292.00","       2304.02","     593594","          1367651464.85","      27775","     195044","         32.86"
"ACC","EQ","13-Aug-2021","       2292.00","       2295.45","       2322.70","       2273.75","       2301.55","       2308.60","       2304.92","     275083","           634045451.05","      15584","      78676","         28.60"
"ACC","EQ","16-Aug-2021","       2308.60","       2309.80","       2325.00","       2290.00","       2295.10","       2296.25","       2303.80","     293777","           676803774.75","      17400","     106586","         36.28"
"ACC","EQ","17-Aug-2021","       2296.25","       2300.00","       2315.00","       2271.00","       2308.15","       2308.75","       2294.16","     309125","           709181105.35","      24256","     124644","         40.32"
"ACC","EQ","18-Aug-2021","       2308.75","       2315.15","       2363.85","       2311.20","       2361.95","       2356.30","       2342.69","     965286","          2261366209.10","      62911","     316046","         32.74"
"ACC","EQ","20-Aug-2021","       2356.30","       2330.15","       2373.80","       2281.00","       2281.00","       2290.55","       2324.09","     596640","          1386644622.00","      35006","     175504","         29.42"
"ACC","EQ","23-Aug-2021","       2290.55","       2300.00","       2320.00","       2230.55","       2260.00","       2261.45","       2276.98","     477873","          1088109177.70","      26302","     112649","         23.57"
"ACC","EQ","24-Aug-2021","       2261.45","       2267.05","       2293.85","       2257.00","       2278.05","       2280.95","       2272.41","     423186","           961650747.25","      15217","     150337","         35.53"
"ACC","EQ","25-Aug-2021","       2280.95","       2285.15","       2305.00","       2255.20","       2274.30","       2267.35","       2271.62","     339700","           771670044.10","      19443","     135130","         39.78"
"ACC","EQ","26-Aug-2021","       2267.35","       2270.80","       2286.50","       2258.25","       2286.50","       2275.55","       2271.49","     373379","           848127834.20","      15242","     153847","         41.20"
"ACC","EQ","27-Aug-2021","       2275.55","       2279.95","       2354.65","       2266.30","       2341.35","       2348.10","       2330.02","     591864","          1379052635.15","      24702","     116512","         19.69"
"ACC","EQ","30-Aug-2021","       2348.10","       2352.00","       2390.00","       2350.00","       2385.70","       2386.50","       2373.77","     456720","          1084150296.85","      23908","     151590","         33.19"
"ACC","EQ","31-Aug-2021","       2386.50","       2393.80","       2419.70","       2365.50","       2407.10","       2413.20","       2401.72","     580467","          1394121370.05","      31627","     243420","         41.94"
"ACC","EQ","01-Sep-2021","       2413.20","       2420.00","       2437.40","       2393.05","       2420.00","       2424.05","       2413.29","     418473","          1009896202.05","      25335","     193513","         46.24"
"ACC","EQ","02-Sep-2021","       2424.05","       2428.90","       2498.00","       2413.15","       2481.00","       2474.20","       2461.85","     589580","          1451459551.25","      41669","     164680","         27.93"
"ACC","EQ","03-Sep-2021","       2474.20","       2483.30","       2485.00","       2436.30","       2467.90","       2469.00","       2456.67","     444256","          1091391457.90","      21612","     159351","         35.87"
"ACC","EQ","06-Sep-2021","       2469.00","       2487.90","       2509.00","       2469.00","       2469.25","       2472.75","       2483.64","     426552","          1059400621.25","      22409","     131444","         30.82"
"ACC","EQ","07-Sep-2021","       2472.75","       2476.00","       2494.00","       2444.70","       2476.35","       2483.50","       2470.11","     322194","           795855419.70","      30980","      94022","         29.18"
"ACC","EQ","08-Sep-2021","       2483.50","       2478.10","       2486.90","       2431.25","       2441.10","       2448.95","       2452.37","     312258","           765772738.40","      20284","     135753","         43.47"
"ACC","EQ","09-Sep-2021","       2448.95","       2440.00","       2463.00","       2433.50","       2458.00","       2458.75","       2449.61","     181417","           444401142.85","      11102","      51921","         28.62"
"ACC","EQ","13-Sep-2021","       2458.75","       2460.00","       2479.90","       2420.35","       2465.80","       2471.40","       2464.00","     265232","           653532916.90","      15896","     104276","         39.32"
"ACC","EQ","14-Sep-2021","       2471.40","       2470.00","       2475.05","       2437.55","       2443.40","       2442.95","       2451.30","     174874","           428668339.80","      13727","      69770","         39.90"
"ACC","EQ","15-Sep-2021","       2442.95","       2448.00","       2479.60","       2442.60","       2458.10","       2467.40","       2464.68","     234175","           577165914.70","      14415","      78542","         33.54"
"ACC","EQ","16-Sep-2021","       2467.40","       2476.60","       2479.40","       2416.25","       2430.00","       2429.70","       2434.45","     264530","           643984455.55","      19609","      78630","         29.72"
"ACC","EQ","17-Sep-2021","       2429.70","       2440.00","       2444.00","       2372.30","       2392.00","       2394.85","       2395.37","     538103","          1288953198.15","      31099","     277140","         51.50"
"ACC","EQ","20-Sep-2021","       2394.85","       2378.00","       2390.00","       2320.00","       2330.50","       2325.95","       2351.19","     299170","           703404620.20","      13979","     124172","         41.51"
"ACC","EQ","21-Sep-2021","       2325.95","       2325.95","       2339.90","       2284.00","       2337.40","       2332.30","       2312.77","     567297","          1312029509.85","      24749","     241874","         42.64"
"ACC","EQ","22-Sep-2021","       2332.30","       2339.30","       2379.00","       2331.10","       2363.00","       2365.55","       2361.53","     308803","           729247530.95","      26657","      94533","         30.61"
"ACC","EQ","23-Sep-2021","       2365.55","       2375.00","       2380.50","       2340.05","       2351.00","       2351.05","       2353.21","     380958","           896473071.75","      33169","     178657","         46.90"
"ACC","EQ","24-Sep-2021","       2351.05","       2368.00","       2372.95","       2281.00","       2300.95","       2298.75","       2312.03","     434577","          1004755513.65","      31602","     176889","         40.70"
